"ID","Local","Irradiance_[W/m^2]","T_ambient_[Degrees Celsius]","T_ground_[Degrees Celsius]","Wind_[m/s]","Cloud_[okta]","Pressure_[Pa]","Rain_[mm/hr]","Diffuse_[W/m^2]","Direct_[W/m^2]","Elevation_[Degrees]","Azimuth_[Degrees]"
1,"0000-01-01 00:30:00",0,2.918,1.973,6.504,6.763,101383.575,0.041,0,0,-58.026,23.572
2,"0000-01-01 01:30:00",0,2.911,2,6.597,6.232,101378.428,0.062,0,0,-52.884,46.303
3,"0000-01-01 02:30:00",0,2.925,2.008,6.816,6.657,101364.527,0.069,0,0,-45.525,64.282
4,"0000-01-01 03:30:00",0,2.924,1.982,6.926,7.18,101355.058,0.09,0,0,-37.043,78.833
5,"0000-01-01 04:30:00",0,2.86,1.953,6.8,7.294,101340.119,0.163,0,0,-28.135,91.379
6,"0000-01-01 05:30:00",0,2.85,1.978,6.812,6.433,101344.324,0.106,0,0,-19.264,102.945
7,"0000-01-01 06:30:00",0,2.79,1.988,6.774,5.841,101363.957,0.116,0,0,-10.787,114.23
8,"0000-01-01 07:30:00",0.378,2.69,1.994,6.706,6.265,101392.489,0.078,0.377,0.001,-3.038,125.741
9,"0000-01-01 08:30:00",16.876,2.753,2.003,6.7,6.325,101418.205,0.114,15.413,1.462,3.636,137.822
10,"0000-01-01 09:30:00",55.727,3.188,2.095,6.837,6.253,101433.186,0.084,43.585,12.142,8.867,150.669
11,"0000-01-01 10:30:00",85.189,3.638,2.238,6.997,6.563,101418.98,0.11,63.54,21.65,12.302,164.263
12,"0000-01-01 11:30:00",100.097,4.011,2.364,6.928,6.338,101393.225,0.073,73.349,26.751,13.657,178.353
13,"0000-01-01 12:30:00",96.236,4.199,2.402,6.963,6.001,101366.98,0.067,66.965,29.273,12.814,192.498
14,"0000-01-01 13:30:00",73.62,4.156,2.402,6.878,5.513,101345.349,0.095,52.764,20.856,9.849,206.242
15,"0000-01-01 14:30:00",33.682,3.792,2.363,6.763,5.699,101344.567,0.129,27.124,6.557,5.009,219.276
16,"0000-01-01 15:30:00",3.113,3.316,2.234,6.64,5.972,101341.581,0.197,3.069,0.043,-1.358,231.531
17,"0000-01-01 16:30:00",0,3.161,2.159,6.45,6.2,101334.481,0.132,0,0,-8.885,243.153
18,"0000-01-01 17:30:00",0,3.083,2.151,6.544,6.176,101316.562,0.137,0,0,-17.219,254.459
19,"0000-01-01 18:30:00",0,3.065,2.092,6.745,6.001,101303.951,0.353,0,0,-26.025,265.915
20,"0000-01-01 19:30:00",0,3.07,2.034,6.585,6.405,101289.215,0.271,0,0,-34.953,278.163
21,"0000-01-01 20:30:00",0,3.084,1.952,6.725,6.8,101271.258,0.175,0,0,-43.579,292.145
22,"0000-01-01 21:30:00",0,3.137,1.91,6.825,6.873,101256.033,0.186,0,0,-51.271,309.191
23,"0000-01-01 22:30:00",0,3.141,1.903,6.935,7.122,101243.013,0.14,0,0,-57.033,330.758
24,"0000-01-01 23:30:00",0,3.077,1.852,7.002,6.85,101230.319,0.269,0,0,-59.548,317.896
25,"0000-01-02 00:30:00",0,3.062,1.881,7.117,6.711,101222.452,0.133,0,0,-57.975,23.334
26,"0000-01-02 01:30:00",0,2.931,1.875,7.017,6.424,101222.002,0.117,0,0,-52.862,46.079
27,"0000-01-02 02:30:00",0,2.868,1.865,7.135,6.351,101208.865,0.2,0,0,-45.521,64.087
28,"0000-01-02 03:30:00",0,2.855,1.837,7.216,5.915,101190.52,0.147,0,0,-37.047,78.661
29,"0000-01-02 04:30:00",0,2.904,1.848,7.318,5.714,101178.154,0.157,0,0,-28.142,91.223
30,"0000-01-02 05:30:00",0,2.876,1.869,7.079,5.976,101178.563,0.168,0,0,-19.267,102.801
31,"0000-01-02 06:30:00",0,2.911,1.905,6.897,6.057,101205.296,0.158,0,0,-10.783,114.09
32,"0000-01-02 07:30:00",0.323,2.807,1.907,6.743,6.179,101241.134,0.157,0.323,0,-3.023,125.605
33,"0000-01-02 08:30:00",19.198,2.996,1.92,6.578,5.829,101285.381,0.116,16.961,2.234,3.665,137.687
