timestep;Jaar1;Jaar2;Jaar3
0;47,95174509;44,61243839;41,27313168
1;48,07850684;46,72003478;45,36156271
2;46,6723724;45,32736673;43,98236105
3;43,94843909;40,63018088;37,31192268
4;43,36573558;42,1284457;40,89115582
5;42,3915209;39,22965815;36,0677954
6;40,83244385;37,71581184;34,59917982
7;36,80156363;35,95260576;35,1036479
8;35,48297407;34,69355249;33,92136117
9;29,4466275;26,3030022;23,20793494
10;28,12165038;24,39846447;20,74106688
11;31,74206848;28,07664364;24,46290962
12;29,86846778;25,99641341;22,18544818
13;27,86767937;25,34913726;22,93084401
14;32,52153535;30,44550292;28,44309075
15;38,71006855;38,8324628;38,96738815
16;46,42094265;47,09619457;47,7714465
17;46,63392792;47,90180116;49,1696744
18;48,14250473;45,91901294;43,69552115
19;45,3865908;44,58263972;43,77868865
20;44,68177756;43,82287317;42,96396878
21;44,17948229;43,21687909;42,25427589
22;41,51444378;40,30058095;39,08671812
23;42,25360942;40,87266301;39,49171659
24;44,83906004;43,32197628;41,80489252
25;43,8007551;42,2578451;40,71493509
26;40,97230638;40,65414924;40,33599209
27;42,25237233;41,99610667;41,73984101
28;42,11893022;41,97867904;41,83842785
29;45,68180183;44,49352851;43,30525519
30;53,74031529;54,57932482;55,41833435
31;58,08548527;58,68062284;59,27576042
32;58,12040212;58,26744493;58,46617855
33;53,5216164;52,64318007;51,88692205
34;49,42982766;48,11308679;46,96551587
35;50,31359345;48,1463274;46,15293048
36;53,13412879;49,91214569;46,8515006
37;62,92124485;61,97238633;61,11907749
38;57,50669744;56,32338574;55,252854
39;70,36129041;70,86589992;71,37990775
40;78,57119691;80,16605184;81,76090678
41;77,93275608;80,10987581;82,28699553
42;74,00576361;75,86863522;77,73150683
43;68,06388151;69,3406576;70,61743368
44;66,73187368;67,9481478;69,16442193
45;61,92519035;63,02166865;64,11814695
46;60,45257536;61,27589991;62,09922446
47;60,34782509;61,32665636;62,30548764
48;60,29584589;60,85811307;61,42038025
49;59,46955267;60,07274655;60,67594042
50;58,28348736;59,21060919;60,13773103
51;58,79094603;59,83118254;60,87141905
52;59,33318767;60,51710959;61,70103151
53;60,56398528;61,8993566;63,23472791
54;65,07905518;66,30962469;67,54019419
55;68,65889663;70,41674579;72,17459495
56;73,05188372;74,52759699;76,03777081
57;64,63361903;64,89452147;65,26820387
58;57,93414466;56,94833712;56,12856676
59;50,34615218;48,4535019;46,76918129
60;48,85705747;46,64731422;44,64590063
61;55,50293279;54,67686501;53,97297552
62;68,34292883;68,61634058;68,94614232
63;75,58483895;76,86715954;78,16201124
64;79,26105149;81,05568937;82,85032724
65;77,79031589;80,15789486;82,52547383
66;72,8007925;74,86161563;76,92243875
67;67,92670946;69,41713682;70,90756418
68;66,22502752;67,6475344;69,07004128
69;64,75792056;66,0499007;67,34188085
70;62,36939648;63,3886206;64,40784473
71;59,77323322;60,61529152;61,45734982
72;61,10179986;61,83349983;62,56519979
73;59,74639514;60,49174393;61,23709272
74;57,63668984;58,4289873;59,22128476
75;57,4715009;58,33750112;59,20350135
76;58,13124927;59,10656159;60,08187391
77;59,86201879;60,6933292;61,5246396
78;61,86348572;62,86328785;63,86308999
79;66,56174285;67,90673427;69,25172569
80;73,03576786;74,30771984;75,60630042
81;75,89458265;76,52536192;77,19060173
82;75,92014811;76,16851657;76,45604473
83;74,83470159;74,81228124;74,83371975
84;74,37048559;73,16457337;71,99782087
85;75,13551493;74,10474919;73,10061207
86;75,89472281;75,01886341;74,16023428
87;75,4639449;74,79428017;74,1293146
88;78,22091993;77,93242614;77,64393235
89;77,01804321;78,50319527;79,98834733
90;74,01589153;75,16363068;76,31136982
91;68,80872689;69,36092488;69,91312286
92;65,7407004;65,02902672;64,31735305
93;63,90179864;64,25538956;64,60898048
94;59,3819462;59,438699;59,49545181
95;59,83019278;60,04150724;60,2528217
96;59,36908093;59,86653187;60,36398281
97;55,2778361;55,59810083;55,91836556
98;52,87841055;53,22131889;53,56422724
99;51,74090764;51,53052581;51,32014398
100;51,77466029;51,68834163;51,60202296
101;51,46900008;51,51064135;51,55228263
102;51,62957815;50,77637391;49,92316967
103;50,96292853;50,21931189;49,47569524
104;53,59066264;52,61634038;51,65454922
105;54,32264082;53,10299678;51,91311411
106;57,89423026;57,79736925;57,73966795
107;58,63320183;57,27604149;55,96274003
108;56,89239537;56,81820064;56,78316562
109;54,57399821;53,31708916;52,09933981
110;56,4767742;55,62080265;54,78206137
111;56,92726232;56,33530194;55,74804073
112;58,49764271;58,06395461;57,63026651
113;56,85570632;57,65089916;58,446092
114;56,42125321;57,18658277;57,95191234
115;52,75516337;53,50772047;54,26027757
116;50,2615467;50,89132464;51,52110257
117;50,38793826;50,80931408;51,23068991
118;48,2849366;47,37057197;46,45620735
119;47,75066274;46,69272965;45,63479656
120;49,53250668;48,14628458;46,76006248
121;47,72922541;46,23218299;44,73514056
122;45,08459482;43,62264476;42,16069469
123;43,98873547;42,58282056;41,17690566
124;44,61676033;45,17488112;45,73300191
125;46,27753626;46,95022603;47,6229158
126;47,01722876;47,34217721;47,66712566
127;42,00766639;43,00471152;44,00645581
128;38,00441892;37,79823007;37,63120093
129;26,30321667;25,14890353;24,13399896
130;26,30475335;24,46182297;22,7661331
131;16,63640652;14,18818421;11,96552183
132;17,14777146;14,6960882;12,47466405
133;37,80704668;38,06981368;38,4109001
134;45,7278589;46,16375317;46,65603742
135;52,44830431;53,09279228;53,74667859
136;55,10591227;56,63757104;58,16922981
137;52,98791851;54,56820385;56,14848918
138;53,45395538;55,00949993;56,56504448
139;52,6981103;54,23844358;55,77877687
140;50,70443274;52,38054092;54,05664911
141;49,76567862;51,21584828;52,66601793
142;50,33264777;51,63955972;52,94647166
143;51,26699104;52,1237388;52,98048656
144;54,89128189;55,65910236;56,42692284
145;54,49884448;55,28605561;56,07326673
146;54,09453662;54,95379577;55,81305492
147;54,84110994;55,79638742;56,75166491
148;57,57865737;58,66832171;59,75798605
149;60,201857;61,41169624;62,62153549
150;64,02185543;65,1525;66,28314456
151;71,64547314;73,51639713;75,38732112
152;80,78288302;83,12229097;85,48362836
153;83,08934407;84,68626151;86,32233866
154;76,96407101;77,39192668;77,88087149
155;75,50617819;74,16510865;72,8929602
156;75,57651092;72,18896733;68,86251289
157;74,82910742;71,25650098;67,75281564
158;80,66575694;77,76465751;74,89018669
159;80,42330062;73,44723266;66,47116471
160;82,21037954;77,48514894;72,75991833
161;84,24865669;80,94174538;77,63483406
162;78,72577561;74,70314402;70,68051243
163;72,63353195;67,34471444;62,05589694
164;68,46847015;61,69119458;54,91391901
165;66,20372132;59,31838354;52,43304576
166;62,33345995;55,00680683;47,68015371
167;60,73574633;53,14653981;45,55733328
168;62,63739627;54,99110223;47,34480819
169;60,07990063;54,04267529;48,00544996
170;59,7499309;53,81833814;47,88674537
171;59,47969364;53,64179156;47,80388947
172;60,6348973;54,92767113;49,22044496
173;61,86780341;56,26692877;50,66605413
174;65,99845084;59,02804543;52,05764003
175;73,32756593;66,99938713;60,67590749
176;78,8378781;72,73689469;66,67507098
177;73,04396263;66,082572;59,22143024
178;61,47800815;52,46993641;43,63573379
179;66,51546358;57,65219054;48,92362689
180;59,03491174;49,26726372;39,67818398
181;72,20089458;64,02278262;55,91829092
182;71,68497257;63,48413012;55,35690792
183;78,09328236;70,8614457;63,64214014
184;81,02411833;74,6876298;68,35114127
185;83,16396671;79,76275789;76,36154907
186;80,41847878;79,27898049;78,13948221
187;73,08522392;67,71807941;62,3509349
188;70,67251837;65,35157247;60,03062657
189;67,75230032;65,28938242;62,82646452
190;63,37455729;60,47345364;57,57234999
191;61,54991586;58,35077685;55,15163783
192;63,32190357;60,03076149;56,7396194
193;60,44750673;57,17276544;53,89802414
194;59,41967892;58,20837488;56,99707083
195;59,39485603;56,28257707;53,1702981
196;60,55736984;60,77797856;60,99858728
197;64,12587254;64,47173194;64,81759133
198;67,9899603;68,53184164;69,07372297
