label,sim_id,final_status,cfe_floor,season,month_label,capacity_mwh,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
cfe_000_winter,sw-axis12cfe-cfe000w-47054763,"all models terminated successfully, the simulation has been terminated",0.0,winter,Jan–Feb,100.0,222273431.34735638,222273431.34735638,0.0,92227.14850513625,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1668718.1096613577,55031.27418549319,1483616.5,2664793.2501718816,1238085.7807781026,0.0,359.0,0.0,nan,1.0,1079742.1055355405,1.0,0.03709265445989121,64.70488330438617,0.7648697488340374,1483616.5,149.81865687484358,192.7796719725228,-27252888.025982894,0.39831705733796197
cfe_050_winter,sw-axis12cfe-cfe050w-03bddf92,"all models terminated successfully, the simulation has been terminated",0.5,winter,Jan–Feb,100.0,202845001.58064368,202845001.58064368,0.0,88051.33241477657,12756.088925586304,282329960.8414159,101143.84302035137,12756.088925586304,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1631047.9786345598,55031.27418549319,1483616.5,2672494.252011154,1241622.9687579107,0.0,404.0,0.0,nan,1.0,1096985.797914012,1.0,0.03709265445989121,67.25650086837786,0.7764924912196011,1470860.4110744137,137.90907692761428,191.94884756955517,-27106728.809090927,0.3971823148736068
cfe_070_winter,sw-axis12cfe-cfe070w-a865878f,"all models terminated successfully, the simulation has been terminated",0.7,winter,Jan–Feb,100.0,107451683.84501107,107451683.84501107,0.0,49924.30373911234,414819.2534150761,180771339.37067935,65986.16605438142,414819.2534150761,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1170956.3463375524,55031.27418549319,1483616.5,2009574.8620962156,928814.1925021478,0.0,781.0,0.0,nan,1.0,879446.2844296143,1.0,0.03709265445989121,75.10495905165843,0.6298646305262227,1068797.246584924,100.53514283307356,169.1352966601376,-26967246.815973755,0.5309465433586885
cfe_085_winter,sw-axis12cfe-cfe085w-cbd08976,"all models terminated successfully, the simulation has been terminated",0.85,winter,Jan–Feb,100.0,0.0,0.0,0.0,0.0,1428585.2258145057,3.3149363559041925e-09,1.2647431168794004e-12,1428585.2258145057,286011102.20302236,102208.1598349503,0.0,0.0,0.0,0.0,55031.27418549319,1483616.5,0.0,0.0,0.0,1180.0,0.0,nan,1.0,0.0,1.0,0.03709265445989121,nan,0.03709265445989121,55031.27418549429,0.0,6.023731787002631e-14,-27721734.929184813,nan
cfe_100_winter,sw-axis12cfe-cfe100w-e8499a06,"all models terminated successfully, the simulation has been terminated",1.0,winter,Jan–Feb,100.0,0.0,0.0,0.0,0.0,1428585.2258145057,3.3149363559041925e-09,1.2647431168794004e-12,1428585.2258145057,286011102.20302236,102208.1598349503,0.0,0.0,0.0,0.0,55031.27418549319,1483616.5,0.0,0.0,0.0,1178.0,0.0,nan,1.0,0.0,1.0,0.03709265445989121,nan,0.03709265445989121,55031.27418549429,0.0,6.023731787002631e-14,-27721734.929184813,nan
cfe_000_spring,sw-axis12cfe-cfe000s-8ff02453,"all models terminated successfully, the simulation has been terminated",0.0,spring,Apr–May,100.0,122473362.61372656,122473362.61372656,0.0,33048.71415639892,0.0,210934955.57707375,82313.11734461239,0.0,210934955.57707375,82313.11734461239,0.0,0.0,0.0,1464634.0798572905,270135.7049384514,1484565.25,2452570.181039595,1134393.9259564995,0.0,338.0,0.0,nan,1.0,1125978.0339377024,1.0,0.1819628372268928,76.87777100253015,0.9404192499293337,1484565.25,82.49779699055098,142.08533816689683,-25407594.396762922,0.43472613317784786
cfe_050_spring,sw-axis12cfe-cfe050s-43fb2083,"all models terminated successfully, the simulation has been terminated",0.5,spring,Apr–May,100.0,104561694.0519081,104561694.0519081,0.0,26900.74893810473,0.0,210934955.57707375,82313.11734461239,0.0,210934955.57707375,82313.11734461239,0.0,0.0,0.0,1447964.9461660683,270135.7049384514,1484565.25,2402690.6882822705,1110793.5996463774,0.0,324.0,0.0,nan,1.0,1160000.8613318172,1.0,0.1819628372268928,80.11249612107501,0.9633369542162384,1484565.25,70.4325350818417,142.08533816689683,-25118800.570331704,0.4439624832988793
cfe_070_spring,sw-axis12cfe-cfe070s-7915bb69,"all models terminated successfully, the simulation has been terminated",0.7,spring,Apr–May,100.0,89546889.03730421,89546889.03730421,0.0,23687.927399909742,8799.749786591547,209125501.37427598,81850.61415316649,8799.749786591547,210934955.57707375,82313.11734461239,0.0,0.0,0.0,1422398.3803555195,270135.7049384514,1484565.25,2386476.225239819,1103113.1002959833,0.0,326.0,0.0,nan,1.0,1169117.2634189848,1.0,0.1819628372268928,82.19337701486776,0.9694777433039311,1475765.5002134084,60.67826428003294,141.70645766148797,-24989607.425761174,0.44705360202792127
cfe_085_spring,sw-axis12cfe-cfe085s-7cd18f9a,"all models terminated successfully, the simulation has been terminated",0.85,spring,Apr–May,100.0,42153850.22338221,42153850.22338221,0.0,-6483.291255647332,385621.6874311365,138385979.30585536,54935.2698159229,385621.6874311365,210934955.57707375,82313.11734461239,0.0,0.0,0.0,917422.7820920441,270135.7049384514,1484565.25,1656804.4141117453,785947.9546574786,0.0,749.0,0.0,nan,1.0,801018.7424505828,1.0,0.1819628372268928,87.31184336015512,0.7215273612183999,1098943.5625688634,38.35852145568278,125.92637512919018,-24836666.351864573,0.6274597217400041
cfe_100_spring,sw-axis12cfe-cfe100s-e4bf6c84,"all models terminated successfully, the simulation has been terminated",1.0,spring,Apr–May,100.0,0.0,0.0,0.0,0.0,1214429.54506155,2.8916492295257e-09,1.2386120959917074e-12,1214429.54506155,210934955.57707375,82313.11734461239,0.0,0.0,0.0,0.0,270135.7049384514,1484565.25,0.0,0.0,0.0,1164.0,0.0,nan,1.0,0.0,1.0,0.1819628372268928,nan,0.1819628372268928,270135.7049384499,0.0,1.0704431797287068e-14,-27721734.929184813,nan
cfe_000_summer,sw-axis12cfe-cfe000s-974a6dc4,"all models terminated successfully, the simulation has been terminated",0.0,summer,Jul–Aug,100.0,89992093.74379611,89992093.74379611,0.0,32663.515824731516,0.0,207283733.70251986,93924.96624401496,0.0,207283733.70251986,93924.96624401496,0.0,0.0,0.0,1437976.5342983087,281158.49588807224,1483493.5,2341517.3681641244,1075294.0293049244,0.0,340.0,0.0,nan,1.0,1177153.052763588,1.0,0.18952458901105548,81.86177066776719,0.9830252364783939,1483493.5,60.66227708028118,139.72675559584175,-24844046.44996792,0.45861938362131704
