label,sim_id,final_status,drift_pct,spike_frac,is_static,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
mpc_d1_s0.05,sw-axis5mpc-mpcd1s00-fd6b0d23,"all models terminated successfully, the simulation has been terminated",1.0,0.05,,283078596.7498219,268165189.38439313,14913407.36542849,106224.10906227083,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24855.678942380826,9942.271576952324,1456427.5013769164,55031.27418549319,1483616.5,952305.8751380134,453463.2024815047,124960.5295217368,1081.0,0.0,0.0,1.0,814929.2671395842,1.0,0.03709265445989121,55.953987848289366,0.5863783136174864,1483616.5,190.80307933338696,223.7944862375921,628822.9946260615,0.043500833781688904
mpc_d1_s0.1,sw-axis5mpc-mpcd1s01-1bceafb9,"all models terminated successfully, the simulation has been terminated",1.0,0.1,,283751689.23587286,268466350.406435,15285338.829437377,106451.83880570019,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25475.56471572896,10190.22588629158,1456292.7282927255,55031.27418549319,1483616.5,942839.8558281948,449259.92046513944,125049.38609937557,1053.0,0.0,0.0,1.0,814483.2451163891,1.0,0.03709265445989121,55.9285389051721,0.5860776820033226,1483616.5,191.2567629410113,223.7944862375921,618125.643281024,0.0439078281829303
mpc_d1_s0.2,sw-axis5mpc-mpcd1s02-13e12d9a,"all models terminated successfully, the simulation has been terminated",1.0,0.2,,283479745.332705,268328750.4210274,15150994.911677206,106346.73732486399,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25251.658186128687,10100.663274451466,1457210.0017865796,55031.27418549319,1483616.5,951331.4026133708,453042.7050276065,125114.98956157977,1033.0,0.0,0.0,1.0,815282.3913601034,1.0,0.03709265445989121,55.94817427553645,0.586616329452791,1483616.5,191.07346496396138,223.7944862375921,623062.6684164222,0.04354120964393026
mpc_d1_s0.5,sw-axis5mpc-mpcd1s05-7d630c38,"all models terminated successfully, the simulation has been terminated",1.0,0.5,,283487231.9789439,268546851.94288826,14940380.036055552,106369.22988370236,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24900.633393425927,9960.253357370364,1458280.770719015,55031.27418549319,1483616.5,946892.4320960444,450614.36794938607,125323.13625808823,1018.0,0.0,0.0,1.0,815697.8411084071,1.0,0.03709265445989121,55.935582330021525,0.5868963544783308,1483616.5,191.0785111778845,223.7944862375921,622006.1054882795,0.043775850927762566
mpc_d5_s0.05,sw-axis5mpc-mpcd5s00-f7dfe82c,"all models terminated successfully, the simulation has been terminated",5.0,0.05,,283317803.80538493,268211408.66898638,15106395.136398409,106361.15586427518,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25177.325227330675,10070.93009093227,1457484.2623393557,55031.27418549319,1483616.5,958024.563756876,455736.190422762,125554.42149333647,1037.0,0.0,0.0,1.0,815188.9397218428,1.0,0.03709265445989121,55.93123444183282,0.5865533403728902,1483616.5,190.96431173782776,223.7944862375921,622385.3735684104,0.043283873020840184
mpc_d5_s0.1,sw-axis5mpc-mpcd5s01-c1c33a45,"all models terminated successfully, the simulation has been terminated",5.0,0.1,,283209857.20692945,268268997.5880215,14940859.618907338,106233.66937387805,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24901.432698178894,9960.573079271553,1457357.1434899755,55031.27418549319,1483616.5,948910.9286945997,451926.72502394277,126696.18513358494,991.0,0.0,0.0,1.0,815640.1782907184,1.0,0.03709265445989121,55.96707587664347,0.5868574880882031,1483616.5,190.89155263973504,223.7944862375921,628373.9096242946,0.04364872955060404
mpc_d5_s0.2,sw-axis5mpc-mpcd5s02-e149f7d6,"all models terminated successfully, the simulation has been terminated",5.0,0.2,,283546894.05118376,268377049.3526308,15169844.69855317,106335.98071195875,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25283.074497588615,10113.229799035442,1457391.4804366212,55031.27418549319,1483616.5,952281.0275654901,453696.5238851776,124786.71710928703,971.0,0.0,0.0,1.0,815448.5350813656,1.0,0.03709265445989121,55.952607520188366,0.5867283150779591,1483616.5,191.11872512282235,223.7944862375921,623567.9483407619,0.04347846271410397
mpc_d5_s0.5,sw-axis5mpc-mpcd5s05-e838524a,"all models terminated successfully, the simulation has been terminated",5.0,0.5,,283369413.55251807,268299527.24535984,15069886.307158414,106409.98895019092,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25116.477178597353,10046.590871438937,1458593.2236918006,55031.27418549319,1483616.5,958861.8389710457,456418.33657735656,125674.0337442645,966.0,0.0,0.0,1.0,816422.4195536663,1.0,0.03709265445989121,55.973276599163434,0.5873847410966105,1483616.5,190.999098185089,223.7944862375921,620091.4936850164,0.04321918252711783
mpc_d10_s0.05,sw-axis5mpc-mpcd10s0-0a7f2723,"all models terminated successfully, the simulation has been terminated",10.0,0.05,,282396725.4983165,267874133.69932756,14522591.798988977,105910.73233890961,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24204.31966498162,9681.727865992647,1456345.4876782969,55031.27418549319,1483616.5,958582.1241127312,456390.2097414206,126745.09623141024,885.0,0.0,0.0,1.0,815240.3619672401,1.0,0.03709265445989121,55.978500216105644,0.5865880004386129,1483616.5,190.3434785864922,223.7944862375921,643543.5175699232,0.043221846078680244
mpc_d10_s0.1,sw-axis5mpc-mpcd10s0-bff4c64b,"all models terminated successfully, the simulation has been terminated",10.0,0.1,,282814643.0083695,267898654.92757675,14915988.080792425,106067.77620919276,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24859.980134654044,9943.992053861615,1457452.7277666575,55031.27418549319,1483616.5,951790.4256857982,453195.83482079464,126000.48899151802,766.0,0.0,0.0,1.0,816535.8115542431,1.0,0.03709265445989121,56.024857341717706,0.5874611705516462,1483616.5,190.6251669541081,223.7944862375921,636166.5564768966,0.04352649755719944
