label,sim_id,final_status,season,month_label,omega_ratio,weight_label,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
winter__cost_only,sw-axis7seasonalpare-6b7c454e,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,0.0,cost_only,285338059.0114645,270018254.9436581,15319804.067806583,107412.02828056857,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25533.006779677627,10213.202711871048,1465533.736209449,55031.27418549319,1483616.5,1083417.2535272844,515716.05202598503,125741.12747589142,1065.0,0.0,0.0,1.0,816400.9129025078,1.0,0.03709265445989121,55.706729414097275,0.58737024499795,1483616.5,192.3260215907982,223.7944862375921,573021.8109234357,0.03824978361593901
winter__p_dominant,sw-axis7seasonalpare-3284533b,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,0.1,p_dominant,284575057.9810424,269712778.9921931,14862278.988849323,106935.01899525896,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24770.46498141554,9908.18599256621,1464261.113339868,55031.27418549319,1483616.5,1052758.9418966922,500898.73643873614,126913.76975718376,1044.0,0.0,0.0,1.0,816299.0447763081,1.0,0.03709265445989121,55.74818844395808,0.5873015829641969,1483616.5,191.81173705000072,223.7944862375921,595428.791421287,0.03938126803335013
winter__p_strong,sw-axis7seasonalpare-367f1e48,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,0.33,p_strong,283924616.14869094,269383862.08729976,14540754.061391493,106345.93556612536,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24234.59010231915,9693.836040927654,1460677.1515547654,55031.27418549319,1483616.5,987855.8162310884,470350.7345102712,125900.53457651801,1018.0,0.0,0.0,1.0,815330.2283736094,1.0,0.03709265445989121,55.81864736541955,0.5866485729695663,1483616.5,191.3733206315048,223.7944862375921,623100.3301412014,0.04193897436515964
winter__balanced,sw-axis7seasonalpare-3b410868,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,1.0,balanced,283297069.59916097,268389148.14128885,14907921.457871664,106243.50095784459,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24846.53576311944,9938.614305247771,1457741.8052654571,55031.27418549319,1483616.5,958034.4452135252,456298.35820747964,125341.86134735763,1010.0,0.0,0.0,1.0,815557.6125035041,1.0,0.03709265445989121,55.94664360709542,0.586801836383592,1483616.5,190.9503362891697,223.7944862375921,627912.081905242,0.043230546510734574
winter__c_strong,sw-axis7seasonalpare-e6c98269,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,3.0,c_strong,282962273.27412343,268329538.8025935,14632734.47152994,106174.77430600986,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,24387.890785883235,9755.156314353291,1455393.0259454367,55031.27418549319,1483616.5,892948.0945984296,424908.5616895743,125601.4864715349,965.0,0.0,0.0,1.0,814185.1034105341,1.0,0.03709265445989121,55.94262779166692,0.5858767259571643,1483616.5,190.7246739801852,223.7944862375921,631140.4399158076,0.04642417022340805
winter__c_dominant,sw-axis7seasonalpare-0253f6c3,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,10.0,c_dominant,283871499.3865682,267869652.9562816,16001846.43028634,107397.79963819326,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,26669.744050477242,10667.897620190894,1454148.6870174096,55031.27418549319,1483616.5,929725.2544839209,442847.67974258645,124266.35597391061,1009.0,0.0,0.0,1.0,813808.5553598795,1.0,0.03709265445989121,55.96460407560346,0.5856229217896759,1483616.5,191.3375184129916,223.7944862375921,573690.1855694503,0.04454359433186236
winter__carbon_only,sw-axis7seasonalpare-ddc40fc0,"all models terminated successfully, the simulation has been terminated",winter,Jan–Feb,inf,carbon_only,283992155.9597953,267729517.88289246,16262638.076902952,107912.44264725408,0.0,332025192.3911146,143216.8402326685,0.0,250874322.0327117,89116.25999373384,135251.45059733768,27104.39679483826,10841.758717935301,1454625.3812038822,55031.27418549319,1483616.5,956999.7563355392,456099.3333579641,121170.89464706938,994.0,0.0,0.0,1.0,814363.601646968,1.0,0.03709265445989121,55.98442129292296,0.5859970388792934,1483616.5,191.4188443979932,223.7944862375921,549515.4027664356,0.0432494107194376
spring__cost_only,sw-axis7seasonalpare-9c7c7f43,"all models terminated successfully, the simulation has been terminated",spring,Apr–May,0.0,cost_only,200259312.41832545,199919012.3083878,340300.10993779585,75216.76707954392,0.0,219127150.61266777,88201.71335419522,0.0,207912732.3059112,80725.4344830242,18690.6971779271,567.1668498963263,226.86673995853056,1283630.8437521148,270135.7049384514,1484565.25,961168.2246943052,455075.5045024269,27243.989486272912,874.0,0.0,0.0,1.0,779975.1859029353,1.0,0.1819628372268928,60.763200705198884,0.7073524662128436,1484565.25,134.89424760435787,147.60358334715687,-498915.9918518,0.043346713242296865
spring__p_dominant,sw-axis7seasonalpare-2529d91b,"all models terminated successfully, the simulation has been terminated",spring,Apr–May,0.1,p_dominant,199408398.88568744,198918579.80548868,489819.080198747,74388.20394035638,0.0,219127150.61266777,88201.71335419522,0.0,207912732.3059112,80725.4344830242,18690.6971779271,816.3651336645784,326.5460534658314,1281849.9615138848,270135.7049384514,1484565.25,928434.0581626018,439552.60572740814,27670.615127389046,923.0,0.0,0.0,1.0,781702.8438244439,1.0,0.1819628372268928,60.982397885415594,0.7085162129201765,1484565.25,134.3210740556452,147.60358334715687,-459995.1601766621,0.044877512134448634
spring__p_strong,sw-axis7seasonalpare-5a0db628,"all models terminated successfully, the simulation has been terminated",spring,Apr–May,0.33,p_strong,198125725.55342263,197635906.47322384,489819.080198747,74074.42611937705,0.0,219127150.61266777,88201.71335419522,0.0,207912732.3059112,80725.4344830242,18690.6971779271,816.3651336645784,326.5460534658314,1277148.0048704883,270135.7049384514,1484565.25,866025.7298513363,409906.22014785075,27187.86512240728,844.0,0.0,0.0,1.0,781362.5047574384,1.0,0.1819628372268928,61.180262724262256,0.7082869612473348,1484565.25,133.45706802272426,147.60358334715687,-445255.796118416,0.04812326924471947
